,Name,Description,Designator,Part Number,Price,Qty
,1461750001,RF ANT 2.4GHZ/5.4GHZ CHIP SLD,AE1,Molex 1461750001,0.346,1
,GCM188R71E105KA64D,CAP CER 1UF 25V X7R 0603,"C1, C2, C3, C13, C23, C26","Murata GCM188R71E105KA64D, ",1.19427,6
,865080543009,CAP ALUM 47UF 20% 35V SMD,C4,Wurth Electronics 865080543009,0.21,1
,GRM188R61E106KA73J,CAP CER 10UF 25V X5R 0603,"C5, C9, C16","Murata GRM188R61E106KA73J, ",0.81,3
,GCJ188R71E104KA12D,CAP CER 0.1UF 25V X7R 0603,C6,,,1
,CL10C470JB8NNNC,CAP CER 47PF ±5% 50V C0G/NP0 0603,C7,Samsung CL10C470JB8NNNC,0.007,1
,CC0603KRX7R8BB103,CAP CER 10nF 25V X7R 0603,"C8, C14, C17, C18","Yageo CC0603KRX7R8BB103, ",0.22,4
,CL21A226MOQNNNE,CAP CER 22UF 16V X5R 0805,"C10, C11","Samsung CL21A226MOQNNNE, ",0.54,2
,CC0603CRNPO9BN4R7,CAP CER 4.7PF 50V C0G/NPO 0603,"C12, C15","Yageo CC0603CRNPO9BN4R7, ",0.2,2
,UMK107B7474KA-TR,0603 0.47 uF 50 V ±10% Tolerance X7R Multilayer Ceramic Capacitor,C19,Taiyo Yuden UMK107B7474KA-TR,0.16,1
,GRM188R72A104KA35J,CAP CER 0.1UF 100V X7R 0603,"C20, C21, C22, C24, C25","Murata GRM188R72A104KA35J, ",0.77,5
,LTST-C194TBKT,LED BLUE CLEAR 0603 SMD,D1,Vishay Lite-On LTST-C191TBKT-5A,0.34,1
,2450BP07A0100001T,RF FILTER BAND PASS 2.45GHZ 0402,FL1,Johanson 2450BP07A0100001T,0.3,1
,XT60PW-M,Board Mount XT60PW-M 2 Pin Male Connector,J1,,,1
,TSW-104-07-T-T,CONN HEADER VERT 12POS 2.54MM,J2,Samtec TSW-104-07-T-T,0.79,1
,61300311121,CONN HEADER VERT 3POS 2.54MM,"J3, J6","Wurth Electronics 61300311121, ",0.26,2
,XT60PW-F,Board Mount XT60PW-F 2 Pin Female Connector,"J4, J5",,,2
,CONMHF1-SMD-T,CONN UMC JACK STR SMD,J7,TE Connectivity CONMHF1-SMD-T,0.22,1
,SRP7028A-1R8M,FIXED IND 1.8UH 8.5A 17 MOHM SMD,L1,Bourns SRP7028A-1R8M,1.24,1
,LQW18AS2N0J00D,FIXED IND 2.0NH 700MA 0603 5%,L2,Murata LQW18AS2N0J00D,0.15,1
,LQW18AN24NJ00D,FIXED IND 24NH 500MA 0.21OHM SMD,L3,Murata LQW18AN24NJ00D,0.13,1
,M3HOLE-STANDARD,"Standard M3 Mounting hole as defined by mech team, see confluence for reasonning","MH1, MH2, MH3, MH4",,,4
,RC0603FR-0743KL,RES 43K OHM 1% 1/10W 0603,R1,Yageo RC0603FR-0743KL,0.1,1
,RC0603FR-0773K2L,RES 73.2K OHM 1% 1/10W 0603,R2,Yageo RC0603FR-0773K2L,0.003,1
,RC0603FR-0710KL,RES 10K OHM 1% 1/10W 0603,"R3, R10, R12, R13","Yageo RC0603FR-0710KL, ",0.12,4
,RC0603FR-07100RL,RES 100 OHM 1% 1/10W 0603,"R4, R5, R6, R7, R8, R9","Yageo RC0603FR-07100RL, ",0.12,6
,CRGCQ0603F470R,RES 470 OHM 1% 1/10W 0603,R11,TE Connectivity CRGCQ0603F470R,0.004,1
,PTS647SN38SMTR2LFS,SWITCH TACTILE SPST-NO 0.05A 12V,S1,ITT C&K PTS647SN38SMTR2LFS,0.229,1
,TESTINGPOINT_1MM,Testing Point 1mm Radius,TP1,,,1
,TLV75533PDBVR,IC REG LINEAR 3.3V 500MA SOT23-5,U1,Texas Instruments TLV75533PDBVR,0.32,1
,TPS564247DRLR,IC REG BUCK ADJ 6A SOT563,U2,Texas Instruments TPS564247DRLR,0.5,1
,ESP32-C3FH4,RF TXRX MOD BLUETOOTH WIFISMD,U3,Espressif Systems ESP32-C3FH4,1.3,1
,SX1281IMLTRT,IC RF TXRX 802.15.4 24QFN,U4,Semtech SX1281IMLTRT,4,1
,CS07103-52M,CRYSTAL 52.0000MHZ 10PF SMD,X2,NDK CS07103-52M,0.83,1
,RH100-40.000-6-F-1010-EXT-TR,CRYSTAL 40.0000MHZ 6PF SMD,Y1,Raltron Electronics RH100-40.000-6-F-1010-EXT-TR,0.21,1
