"","Line #","Name","Description","Designator","Revision ID","Revision Status","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","GRM21BR61H106KE43L","CAP CER 10uF 50V X5R 0805","C2, C3, C10, C11, C12","CMP-001-00027-1","Up to date","5","Murata","GRM21BR61H106KE43L","Volume Production","Mouser","81-GRM21BR61H106KE3L","0.158","1.58"
,"","GRM32ER71E226KE15K","CAP CER 22uF 25V X7R 1210","C5, C6, C7, C8, C9","CMP-00073-1","Up to date","5","Murata","GRM32ER71E226KE15K","Volume Production","Digi-Key","490-GRM32ER71E226KE15KCT-ND","0.75","3.75"
,"","BZX884B6V2L-G3-08","ZENER DIODE DFN1006-2A 6.2V 200mW","D2","CMP-00083-7","Up to date","1","Vishay","BZX884B6V2L-G3-08","Unknown","Mouser","78-BZX884B6V2L-G3-08","0.32","0.32"
,"","LTST-C191KGKT","LED GREEN 2V 0603","D3, D4","CMP-001-00018-5","Out of date","2","Vishay Lite-On","LTST-C191KGKT","Volume Production","Future Electronics","3023739","0.205","0.41"
,"","FIDUCIAL-STANDARD","Standard Fiducial","FD1, FD2, FD3, FD4, FD5, FD6","CMP-00028-00000-1","Up to date","6","","","","","","",""
,"","XT60PW-M","Board Mount XT60PW-M 2 Pin Male Connector","J1","CMP-00007-11","Up to date","1","","","","","","",""
,"","XT60PW-F","Board Mount XT60PW-F 2 Pin Female Connector","J2","CMP-00086-5","Up to date","1","","","","","","",""
,"","DMP3068L-7","DMP3068L Series 30 V 3.3 A P-Channel Enhancement Mode Mosfet - SOT-23-3","Q1","CMP-00084-2","Up to date","1","Diodes","DMP3068L-7","Volume Production","Digi-Key","DMP3068L-7DICT-ND","0.44","0.44"
,"",".RES_1206_DNP","DNP 1206 Resistor","R1","CMP-009-00021-1","Up to date","1","","","","","","",""
,"",".RES_0603_DNP","DNP 0603 Resistor","R2, R8","CMP-009-00018-3","Up to date","2","","","","","","",""
,"","RC0603DR-0710KL","RES 10K OHM 0.5% 1/10W 0603","R4","CMP-001-00026-1","Up to date","1","Yageo","RC0603DR-0710KL","Volume Production","Arrow Electronics","RC0603DR-0710KL","0.005","0.005"
,"","RC0603FR-0749K9L","RES 49.9K OHM 1% 1/10W 0603","R5","CMP-00070-1","Up to date","1","Yageo","RC0603FR-0749K9L","Volume Production","Digi-Key","311-49.9KHRCT-ND","0.1","0.1"
,"",".RES_0603","GENERIC 0603 RES","R6","CMP-009-00000-4","Up to date","1","","","","","","",""
,"","RC0603FR-071KL","RES 1k OHM 1% 1/10W 0603","R7","CMP-009-00012-3","Up to date","1","Yageo","RC0603FR-071KL","Volume Production","Newark","66R1908","0.006","30"
,"","LMR16030SDDAR","Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 3A 8-SOIC (0.154, 3.90mm Width) Exposed Pad","U1","CMP-00077-12","Up to date","1","Texas Instruments","LMR16030SDDAR","Volume Production","Digi-Key","296-47797-1-ND","4.08","4.08"
,"","CL10B104KB8NNNC","CAP CER 0.1uF 50V X7R 0603","C1, C4","CMP-00018-4","Out of date","2","Sams","CL10B104KB8NNNC","Unknown","Mouser","187-CL10B104KB8NNNC","0","0"
,"","SK54A-LTP","Diode Schottky 40V 5A 2-Pin SMA T/R","D1","CMP-00102-3","Up to date","1","","","","","","",""
,"","7447709220","FIXED IND 22uH 5.3A 28mOhm SMD","L1","CMP-00091-4","Up to date","1","Wurth Electronics","7447709220","Volume Production","Digi-Key","732-1243-1-ND","2.57","2.57"
,"","M2HOLE-STANDARD","RFC in progress (Dimensions currently unapproved)","MH1, MH2, MH3, MH4","CMP-00092-4","Out of date","4","","","","","","",""
,"","RC0603FR-0716KL","RES 16K OHM 1% 1/10W 0603","R3","CMP-00093-2","Up to date","1","Yageo","RC0603FR-0716KL","Volume Production","Arrow Electronics","RC0603FR-0716KL","0.0033","16.5"
