"","Name","Description","Designator","Part Number","Price","Qty"
,"1461750001","RF ANT 2.4GHZ/5.4GHZ CHIP SLD","AE1, AE2","Molex 1461750001, ","1.61","2"
,"GCM188R71C104KA37D","CAP CER 0.1uF 16V X7R 0603","C1, C17","Murata GCM188R71C104KA37D, ","0.4","2"
,"CL21A106KOQNNNE","CAP CER 10UF 16V X5R 0805","C2, C10, C13","Samsung CL21A106KOQNNNE, ","0.3","3"
,"CL21A226MOQNNNE","CAP CER 22UF 16V X5R 0805","C3, C11, C14","Samsung CL21A226MOQNNNE, ","0.81","3"
,"GCM188R71C105KA64J","CAP CER 1uF 16V X7R 0603","C4","Murata GCM188R71C105KA64J","0.0848","1"
,"CL10B104KA8NNNC","CAP CER 0.1UF 25V X7R 0603","C5, C6, C7, C8, C9, C18, C21","Samsung CL10B104KA8NNNC, ","0.14","7"
,"CC0603KRX7R7BB103","CAP CER 10nF 16V X7R 0603","C12, C19","Yageo CC0603KRX7R7BB103, ","0.2","2"
,"GRM188R61E106KA73J","CAP CER 10UF 25V X5R 0603","C15","Murata GRM188R61E106KA73J","0.23","1"
,"GRM188R61H225KE11D","CAP CER 2.2UF 50V X5R 0603","C16","","","1"
,"GRM188C81E475KE11D","CAP CER 4.7uF 25V X6S 0603","C20","Murata GRM188C81E475KE11D","0.2306","1"
,"CL10C470JB8NNNC","CAP CER 47PF ±5% 50V C0G/NP0 0603","C22, C23","Samsung CL10C470JB8NNNC, ","0.01","2"
,"GRM32EC81A476KE19L","CAP CER 47UF 10V X6S 1210","C24, C25, C26, C27","","","4"
,"CC0603BRNPO9BN8R0","CAP CER 8PF ±0.1PF 50V C0G, NP0 0603","C28, C29","Yageo CC0603DRNPO9BN8R0, ","0.2","2"
,"COM-16347","ADDRESS LED RED/GRN/BLUE","D1","SparkFun COM-16347","0.6","1"
,"LTST-C191KGKT","LED GREEN 2V 0603","D2, D3, D4, D5","Vishay Lite-On LTST-C191KGKT, ","1","4"
,"DESD5V0U1BA-7","TVS DIODE, 5V V(RWM), Bidirectional, 1 Element, Silicon","D6, D7, D8, D9, D10, D11","Diodes DESD5V0U1BA-7, ","0.144","6"
,"SF-1206SP050-2","FUSE BOARD MNT 500MA 63VDC 1206","F1, F2","Bourns SF-1206SP050-2, ","0.868","2"
,"XT30PW-M","Board Mount XT30PW-M 2 Pin Male Connector","J1","","","1"
,"M20-9760246","CONN HEADER SMD 4POS 2.54MM","J2, J4","Harwin M20-9760246, ","0.42","2"
,"0475900001","RightAngle SMT TypeABVersion 2.0 Micro USB Conn Skt; 30Vac; 1.8A 47650 MICRO-USB","J3","Molex 0475900001","0.27","1"
,"2023960907","CONN HEADER SMD R/A 9POS 1MM","J5","Molex 2023960907","1.6","1"
,"61300211121","CONN HEADER VERT 2POS 2.54MM","J6, J7","Wurth Electronics 61300211121, ","0.26","2"
,"M3HOLE-STANDARD","Standard M3 Mounting hole as defined by mech team, see confluence for reasonning","MH1, MH2, MH3, MH4","","","4"
,"61300311121","CONN HEADER 3 POS 2.54","P1, P2","Wurth Electronics 61300311121, ","0.26","2"
,"MMBT3904-7-F","NPN Ic=200mA Vceo=40V hfe=100~300 fT=310MHz P=300mW SOT-23","Q1","Diodes Zetex MMBT3904-7-F","0.02","1"
,"RC0603FR-0733RL","RES 33 OHM ±1% 1/10W 0603","R1, R6, R7, R10","Yageo RC0603FR-0733RL, ","0.11","4"
,"RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","R2, R3, R4, R5, R11, R12, R15, R17, R21, R23, R27","Yageo RC0603FR-0710KL, ","0.121","11"
,"RC0603FR-07100RL","RES 100 OHM 1% 1/10W 0603","R8, R9, R13, R14","Yageo RC0603FR-07100RL, ","0.11","4"
,"RC0603JR-074K7L","RES 4.7K OHM 5% 1/10W 0603","R16","Yageo RC0603JR-074K7L","0.09","1"
,"RC0603FR-071KL","RES 1k OHM 1% 1/10W 0603","R18, R19, R20, R22","Yageo RC0603FR-071KL, ","0.11","4"
,"RC0603FR-0727RL","RES 27 OHM ±1 1/10W 0603","R24, R25","Yageo RC0603FR-0727RL, ","0.12","2"
,"SWITCH_SPST_NO","SWITCH TACTILE SPST-NO 0.05A 12V","S1","E-Switch TL3301NF160QG/TR","0.22","1"
,"RCWCTE","SMT Test Point","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8","KOA Speer RCWCTE, ","1.14","8"
,"TESTINGPOINT_1MM","Testing Point 1mm Radius","TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31","","","23"
,"AZ1117IH-3.3TRG1","Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 800mA SOT-223","U1, U3, U5","Diodes AZ1117IH-3.3TRG1, ","1.14","3"
,"E28-2G4M27S","SX1280 2.4GHz 27dBm SPI High Speed LoRa Module","U2, U6","","","2"
,"ESP32-PICO-D4","RF TXRX MOD WIFI SURFACE MOUNT","U4","Espressif Systems ESP32-PICO-D4","4.5","1"
,"ESP-01F-2M","-90dBm 16dBm ESP8285 External Antenna 2.4GHz - WiFi Modules ROHS","U7","","","1"
,"FT231XS-R","IC USB SERIAL FULL UART 20SSOP","U8","FTDI FT231XS-R","2.34","1"
,"RH100-40.000-6-F-1010-EXT-TR","CRYSTAL 40.0000MHZ 6PF SMD","Y1","Raltron Electronics RH100-40.000-6-F-1010-EXT-TR","0.21","1"
