"","Name","Description","Designator","Part Number","Price","Qty"
,"GRM32ER71E226KE15K","CAP CER 22uF 25V X7R 1210","C1, C2, C3, C4","Murata GRM32ER71E226KE15K, ","3.04","4"
,"LTST-C191KRKT","LED RED 2V 0603","D1, D2, D3, D4, D5, D6, D7, D11, D12, D15, D16","Vishay Lite-On LTST-C191KRKT, ","1.496","11"
,"FIDUCIAL-STANDARD","Standard Fiducial","FD1, FD2, FD3, FD4, FD5, FD6","","","6"
,"550910874","Plug: SlimStack Board-to-Board Connector, 0.635mm Pitch, 0.635 Series, 6.00 or 12.00mm Mated Height, 6.40mm Mated Width, 80 Circuits","J1, J5","Molex 550910874, ","8.98194","2"
,"302-S201","CONN HDR VERT 20POS 2.54MM TH SHROUDED","J2","On-Shore Technology 302-S201","0.49","1"
,"PPPC031LFBN-RC","CONN HEADER 3X1 2.54MM FEMALE VERT TH","J3, J4, J8, J9, J10, J13, J14, J15, J17, J19, J20, J21, J22, J24, J25, J29","Sullins PPPC031LFBN-RC, ","5.28","16"
,"PPPC041LFBN-RC","CONN HEADER 4X1 2.54MM FEMALE VERT TH","J6, J7, J11, J12, J16, J28, J34","Sullins PPPC041LFBN-RC, ","2.03","7"
,"PPPC061LFBN-RC","CONN HEADER 6X1 2.54MM FEMALE VERT TH","J18, J23, J26, J27, J30, J31, J32","Sullins PPPC061LFBN-RC, ","3.78","7"
,"M3HOLE-STANDARD","Standard M3 Mounting hole as defined by mech team, see confluence for reasonning","MH1, MH2, MH3, MH4","","","4"
,"DMG2302UKQ-7","MOSFET N-CH 20V 2.8A SOT23 T&R 3","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q11, Q12","Diodes DMG2302UKQ-7, ","2.79","9"
,"RC0603JR-070RL","RES 0 OHM 1% 1/10W 0603","R1, R2, R3, R4","Yageo RC0603JR-070RL, ","0.09","4"
,"RC0603FR-071KL","RES 1k OHM 1% 1/10W 0603","R5, R6, R7, R8, R13, R14, R23, R31, R32, R45, R46","Yageo RC0603FR-071KL, ","0.121","11"
,"RC0603FR-07100RL","RES 100 OHM 1% 1/10W 0603","R9, R10, R11, R12, R15, R16, R27, R33, R34","Yageo RC0603FR-07100RL, ","0.11","9"
,"RC0603FR-07100KL","RES 100K OHM 1% 1/10W 0603","R17, R18, R19, R20, R21, R22, R35, R39, R40","Yageo RC0603FR-07100KL, ","0.11","9"
,"LABEL-WIDER","Silk screen marking spot for us to place a marking. 0.5cmx3cm size.","SS1","","","1"
