"","Line #","Name","Description","Designator","Revision ID","Revision Status","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","GCM21BR72A104KA37L","CAP CER 0.1uF 100V X7R 0805","C1","CMP-001-00011-3","Up to date","1","Murata","GCM21BR72A104KA37L","Volume Production","Newark","08AC2681","0.038","114"
,"","CL21A106KOQNNNE","CAP CER 10UF 16V X5R 0805","C2, C8, C45","CMP-001-00016-4","Up to date","3","Samsung","CL21A106KOQNNNE","Volume Production","Newark","82AC9390","0.016","32"
,"","CL21A226MOQNNNE","CAP CER 22UF 16V X5R 0805","C4, C6, C11, C12, C13, C14","CMP-001-00015-4","Up to date","6","Samsung","CL21A226MOQNNNE","Volume Production","Mouser","187-CL21A226MOQNNNE","0.123","1.23"
,"","GCM188R71C104KA37D","CAP CER 0.1UF 16V X7R 0603","C5, C9, C10, C30, C34","CMP-001-00017-6","Up to date","5","Murata","GCM188R71C104KA37D","Not Recommended for New Design","Digi-Key","490-4774-1-ND","0.1","0.5"
,"","C0805C104M5RAC7800","CAP CER 0.1UF 50V X7R 0805","C7, C15","CMP-00004-3","Up to date","2","KEMET","C0805C104M5RACTU","Volume Production","Newark","07J4538","0.015","0.03"
,"","GRM188C81E475KE11D","CAP CER 4.7uF 25V X6S 0603","C16, C19, C27","CMP-001-00002-8","Out of date","3","Murata","GRM188C81E475KE11D","Volume Production","Newark","92AH5092","0.046","184"
,"","GCM188R71C104KA37D","CAP CER 100nF 16V X7R 0603","C17, C18, C20, C21, C22, C23, C24, C25, C26, C28, C29","CMP-001-00003-8","Up to date","11","Murata","GCM188R71C104KA37D","Not Recommended for New Design","Digi-Key","490-4774-1-ND","0.076","0.836"
,"","GCM188R71C105KA64J","CAP CER 1uF 16V X7R 0603","C31, C33","CMP-001-00007-6","Up to date","2","Murata","GCM188R71C105KA64J","Volume Production","Arrow Electronics","GCM188R71C105KA64J","0.0848","0.1696"
,"","CC0603KRX7R7BB103","CAP CER 10nF 16V X7R 0603","C32","CMP-001-00004-10","Up to date","1","Yageo","CC0603KRX7R7BB103","Volume Production","Newark","50AJ2712","0.009","36"
,"","C0603C200K4HACAUTO","CAP CER 20pF 16V 0603 ULTRA STAB","C35, C36","CMP-001-00021-6","Up to date","2","KEMET","C0603C200K4HACAUTO","Unknown","Digi-Key","399-C0603C200K4HACAUTOCT-ND","0.1","0.2"
,"","CL32B225KCJSNNE","CAP CER 2.2uF 100V X7R 1210","C37, C41","CMP-001-00013-5","Up to date","2","Samsung","CL32B225KCJSNNE","Volume Production","Digi-Key","1276-3362-1-ND","0.43","0.86"
,"",".CAP_1210_DNP","DNP 1210 Capacitor","C38, C42","CMP-001-00024-2","Up to date","2","","","","","","",""
,"","GCM188R71C104KA37D","CAP CER 0.1uF 16V X7R 0603","C46, C47, C48","CMP-001-00020-5","Up to date","3","Murata","GCM188R71C104KA37D","Not Recommended for New Design","Digi-Key","490-4774-1-ND","0.1","0.3"
,"","SS26-E3/5BT","DIODE SCHOTTKY 60V 2A","D1","CMP-004-00012-1","Out of date","1","Vishay Semiconductors","SS26-E3/5BT","Volume Production","Mouser","625-SS26-E3/5BT","0.42","0.42"
,"","LTST-C191KGKT","LED GREEN 2V 0603","D2, D3","CMP-001-00018-4","Out of date","2","Vishay Lite-On","LTST-C191KGKT","Volume Production","Future Electronics","3023739","0.22","0.44"
,"","CMPZ5264B TR PBFREE","ZENER 60V","D6, D9","CMP-004-00009-3","Up to date","2","Central Semiconductor","CMPZ5264B TR PBFREE","Unknown","Digi-Key","1514-CMPZ5264BTRPBFREECT-ND","0.49","0.98"
,"","B180B-13-F","DIODE SCHOTTKY 80V 1A","D7, D10","CMP-004-00010-4","Out of date","2","Diodes","B180B-13-F","Volume Production","Arrow Electronics","B180B-13-F","0.0694","0.1388"
,"","MM3Z3V3B","ZENER 3.3V","D8, D11, D12","CMP-004-00006-4","Up to date","3","ON Semiconductor / Fairchild","MM3Z3V3B","Volume Production","Arrow Electronics","MM3Z3V3B","0.0257","77.1"
,"","BLM31KN102SN1L","FERRITE BEAD 1 KOHM 1206 1LN","FB1","CMP-00006-2","Up to date","1","Murata","BLM31KN102SN1L","Volume Production","Digi-Key","490-16521-1-ND","0.29","0.29"
,"","FIDUCIAL-STANDARD","Standard Fiducial","FD1, FD2, FD3, FD4, FD5, FD6","CMP-00028-00000-1","Up to date","6","","","","","","",""
,"","528850874","Receptacle: SlimStack Board-to-Board Connector, 0.635mm Pitch, 0.635 Series, 6.00 to 10.00mm Mated Height, 6.40mm Mated Width, 80 Circuits","J1, J5","CMP-00032-8","Up to date","2","Molex","52885-0874","Volume Production","Newark","37AC1293","2.52","2520"
,"","XT60PW-M","Board Mount XT60PW-M 2 Pin Male Connector","J2, J3","CMP-00007-11","Up to date","2","","","","","","",""
,"","5027740891","CONN MICRO SD CARD PUSH-PUSH R/A","J4","CMP-002-00000-7","Up to date","1","Molex","5027740891","Volume Production","Newark","28W0462","2.38","2.38"
,"","TYS8040221M-10","FIXED IND 220uH 800mA 599mOhm","L1","CMP-006-00002-6","Up to date","1","Laird Steward","TYS8040221M-10","Volume Production","Digi-Key","240-2755-1-ND","0.7","0.7"
